taxon.name	variable	type	covariate	posterior.prob.neg.slope	standard.linear.model	in.95CI	mean	median	sd	mad	q2.5	q97.5	rhat	ess bulk	ess tail
Camassia scilloides	slope	last cessation (CkN): N=500	FirstQuarterMonthlyAverageTemp	0.62525			-0.1836860236265	-0.1879365	0.577322774794763	0.5804104719	-1.303898	0.92342995	1.00103140313911	4201.74901695634	3158.51732508119
Camassia scilloides	sigma						8.086248385	8.06419	0.585965528634944	0.577294788	6.9779305	9.29806575	1.00148359256033	5023.53986925886	2698.28678933086
Cardamine concatenata	anchor	onset (O)					94.62596565	94.6336	0.650359285706911	0.644263829999992	93.3141975	95.85651	0.99971966168196	5981.6869785023	3202.21847728597
Cardamine concatenata	anchor	duration (D)					17.08235735	17.0711	0.503345182811202	0.498227730000003	16.112885	18.1066275	1.00151802359614	3588.4690795864	2801.52991783092
Cardamine concatenata	anchor	cessation (C)					111.70831975	111.729	0.713814744441639	0.716095800000006	110.310675	113.084	0.999680317573833	5436.66443744355	3288.7083267254
Cardamine concatenata	anchor	observed (T)					103.167146	103.185	0.634755915649561	0.632328899999996	101.87795	104.37315	0.999760764316862	6213.62365223692	3112.32399524105
Cardamine concatenata	anchor	first onset (Ok1): N=500					67.53318215	67.61145	2.15060941203352	2.20403315999998	63.185515	71.642185	0.999979427184458	4227.85083347768	3331.5550081457
Cardamine concatenata	anchor	last cessation (CkN): N=500					138.801119	138.77	1.72885646078687	1.75465710000001	135.595675	142.282	1.00016683304266	4305.41967405408	3376.75932807918
Cardamine concatenata	intercept	onset (O)					12.586467790625	12.31865	43.6118498525691	44.16880377	-70.818785	96.657625	1.00020190296203	4886.40860654772	2870.7902892266
Cardamine concatenata	intercept	duration (D)					158.07709195	158.073	35.6317471111726	35.2703127	88.2167075	227.91185	0.999941296769287	4345.58556458734	2840.21026590718
Cardamine concatenata	intercept	cessation (C)					170.663553075	170.693	46.6988292454021	47.1059085	79.335685	263.892625	1.0032863448862	6056.39700950641	3186.61783567684
Cardamine concatenata	intercept	observed (T)			115.87926302172	TRUE	91.625009292	91.86555	41.5208528349306	41.43859587	11.3633175	173.826775	1.00112797583284	5883.65348037043	2998.01160652607
Cardamine concatenata	intercept	first onset (Ok1): N=500					-14.506315848225	-14.8083	43.7408755570141	44.20453443	-98.6463075	69.8525475	1.00020713013764	4874.50475284667	2920.38016284777
Cardamine concatenata	intercept	last cessation (CkN): N=500					197.7563575	197.4465	46.6015797623846	46.9346682	106.627425	290.82165	1.00303790770634	6141.18087045066	3159.84535072612
Cardamine concatenata	slope	onset (O)	SpringMonthlyAverageTemp	0.85225			-0.8285699057995	-0.833388	0.77115091937104	0.7721944188	-2.33206225	0.66411765	1.00150652669121	2960.16633949743	2766.01542452891
Cardamine concatenata	slope	onset (O)	Latitude	0.08925			1.02298569675125	1.01308	0.762435722872542	0.7703389449	-0.4825853	2.452828	1.0022771759452	2491.99450914579	2769.57710382386
Cardamine concatenata	slope	onset (O)	Elevation	0.62425			-0.00216272670136	-0.00218411	0.00689351714419568	0.006922904331	-0.015354005	0.011439995	1.00001589495557	3304.34658651173	3103.17857591423
Cardamine concatenata	slope	onset (O)	Year	0.01625			0.0429504748034	0.04283405	0.0198039329845877	0.01927654281	0.0044382735	0.0826922325	1.00040776212581	2655.50235616281	2594.63960492472
Cardamine concatenata	slope	onset (O)	AnnualMonthlyAverageTemp	0.9915			-2.6925151783275	-2.67656	1.10562982664268	1.079229018	-4.882217	-0.5454393	1.0004457904711	2477.52310478028	2562.24023929018
Cardamine concatenata	slope	onset (O)	FirstQuarterMonthlyAverageTemp	0.94325			-0.6687233586675	-0.6610445	0.430765562268621	0.4398384942	-1.51380275	0.162923775	1.00229568250413	3377.26637056246	2712.02703738932
Cardamine concatenata	slope	duration (D)	SpringMonthlyAverageTemp	1			-2.39695875525	-2.40677	0.580880868428348	0.581342286	-3.52520125	-1.27773475	1.00020651431436	3009.95437254838	2832.97661322848
Cardamine concatenata	slope	duration (D)	Latitude	0.47225			0.0381258334255	0.0438097	0.628553363273536	0.61327422828	-1.21356	1.242971	1.00010418622967	2376.67476821894	2610.41520994862
Cardamine concatenata	slope	duration (D)	Elevation	0.3635			0.001893519392995	0.001838815	0.0052158628247034	0.005323453212	-0.0080246555	0.012062145	0.999798658913612	2842.90400461118	3157.11599899492
Cardamine concatenata	slope	duration (D)	Year	1			-0.094096646725	-0.0940164	0.015924940613892	0.01583780037	-0.124752775	-0.062892855	1.00126072190535	3124.94740434805	2842.21033265639
Cardamine concatenata	slope	duration (D)	AnnualMonthlyAverageTemp	0			6.12629983	6.134555	0.672866357346601	0.674101155	4.78140225	7.43131175	1.00108059276735	2131.18345214311	2433.28554605858
Cardamine concatenata	slope	duration (D)	FirstQuarterMonthlyAverageTemp	1			-2.16001753825	-2.16221	0.309814168353346	0.310478679	-2.7692785	-1.5673385	1.0010511882035	3430.4748187902	2668.71625931801
Cardamine concatenata	slope	cessation (C)	SpringMonthlyAverageTemp	0.99975			-3.225528722	-3.22009	0.831459024575217	0.846401514	-4.80732825	-1.60068425	1.00089160706091	4056.02167165653	2967.29193136944
Cardamine concatenata	slope	cessation (C)	Latitude	0.10325			1.061111400395	1.06166	0.838678920781251	0.849255519	-0.622725125	2.654905	1.0006910202763	3451.96274718211	3122.16288735605
Cardamine concatenata	slope	cessation (C)	Elevation	0.51			-0.0002692067903425	-0.000176553	0.00731735436714421	0.007271344983	-0.014748675	0.01450469	1.00048574011302	4405.21487054561	2911.24197891978
Cardamine concatenata	slope	cessation (C)	Year	0.994			-0.051146169883	-0.0515413	0.0211964142083508	0.02112104547	-0.093794345	-0.010312685	1.00131555365984	3878.86238028623	2645.29171887107
Cardamine concatenata	slope	cessation (C)	AnnualMonthlyAverageTemp	0.00175			3.433784700675	3.444935	1.17969778093552	1.171202109	1.0789735	5.72761225	1.00208326973823	3050.88055185536	2569.44365682428
Cardamine concatenata	slope	cessation (C)	FirstQuarterMonthlyAverageTemp	1			-2.82874096	-2.81951	0.475233119083673	0.476314902	-3.76525875	-1.91566725	1.00103612094165	3826.47033582507	2828.02530683221
Cardamine concatenata	slope	observed times (T)	SpringMonthlyAverageTemp	0.99675	-2.63162786122967	TRUE	-2.0270491951375	-2.02894	0.747424397759864	0.762308442	-3.4565175	-0.5799705	1.0006507384616	3569.28364679491	3040.5709779273
Cardamine concatenata	slope	observed times (T)	Latitude	0.08175	1.82946733298027	TRUE	1.04204847534925	1.055225	0.737275626369079	0.7281960399	-0.43806605	2.4395885	1.00111770894878	3208.97071046811	2692.34019022551
Cardamine concatenata	slope	observed times (T)	Elevation	0.57425	-0.00148192945634372	TRUE	-0.0012159669253225	-0.001255815	0.00661292884801298	0.006584145057	-0.013966415	0.0120488925	1.00033203955337	4180.93206099119	2852.70330890012
Cardamine concatenata	slope	observed times (T)	Year	0.5875	-0.031762768537182	TRUE	-0.0040978474382575	-0.004217825	0.0189034620108537	0.018767217819	-0.041938815	0.0330677925	1.00144858047362	3288.69225246021	2766.00195954791
Cardamine concatenata	slope	observed times (T)	AnnualMonthlyAverageTemp	0.3665	1.03841127827763	TRUE	0.370634725338	0.378945	1.09264123257402	1.085841414	-1.739138	2.45187025	1.00152320623104	2796.99054886426	2690.7807406951
Cardamine concatenata	slope	observed times (T)	FirstQuarterMonthlyAverageTemp	1	-1.17983476419663	TRUE	-1.74873214925	-1.74568	0.426270499035812	0.43054704	-2.607848	-0.943035825	1.00223135563215	3657.02654662276	2655.81658347072
Cardamine concatenata	slope	first onset (Ok1): N=500	SpringMonthlyAverageTemp	0.85225			-0.8285699057995	-0.833388	0.77115091937104	0.7721944188	-2.33206225	0.66411765	1.00150652669121	2960.16633949743	2766.01542452891
Cardamine concatenata	slope	first onset (Ok1): N=500	Latitude	0.08925			1.02298569675125	1.01308	0.762435722872542	0.7703389449	-0.4825853	2.452828	1.0022771759452	2491.99450914579	2769.57710382386
Cardamine concatenata	slope	first onset (Ok1): N=500	Elevation	0.62425			-0.00216272670136	-0.00218411	0.00689351714419568	0.006922904331	-0.015354005	0.011439995	1.00001589495557	3304.34658651173	3103.17857591423
